이벤트,소스,매체,사용자수
ga4-btn-home-freetrial,google , cpc,880
sign-up-create-account-social,google , cpc,365
ga4-btn-policy-social-next,google , cpc,328
sign-up-create-account-social,(direct) , (none),93
ga4-btn-shopinfo-next,google , cpc,106
ga4-btn-gnb-freetrial,google , cpc,125
sign_up_create_account,(direct) , (none),48
ga4-btn-shopinfo-next,(direct) , (none),44
ga4-btn-policy-social-next,(direct) , (none),69
sign_up,google , cpc,60
ga4-btn-home-freetrial,(data not available),,46
sign-up-create-account-social,(data not available),,22
sign-up-create-account-social,naver , cpc,21
ga4-btn-gnb-freetrial,(direct) , (none),25
start_sign_up,(direct) , (none),36
sign_up,(direct) , (none),37
ga4-btn-home-freetrial,naver , cpc,47
start_sign_up,google , cpc,31
ga4-btn-policy-social-next,(data not available),,22
ga4-btn-home-freetrial,(direct) , (none),20
ga4-btn-policy-next,(direct) , (none),22
ga4-btn-shopinfo-next,google , organic,9
sign_up_create_account,hangpasa03.cafe24.com , referral,1
sign-up-create-account-social,google , organic,11
ga4-btn-gnb-freetrial,(data not available),,16
ga4-btn-policy-social-next,naver , cpc,18
ga4-btn-shopinfo-next,(data not available),,11
sign-up-create-account-social,BS , brand_search_pc,6
sign_up_create_account,google , cpc,12
ga4-btn-home-freetrial,google , organic,15
sign-up-create-account-social,hangpasa03.cafe24.com , referral,1
sign_up,google , organic,8
ga4-btn-policy-next,google , cpc,11
ga4-btn-policy-social-next,google , organic,10
ga4-btn-shopinfo-next,BS , brand_search_pc,6
sign_up,BS , brand_search_pc,5
sign-up-create-account-social,cgimall.co.kr , referral,1
sign-up-create-account-social,m.search.naver.com , referral,3
sign_up_create_account,cafe24 , banner,1
start_sign_up,google , organic,8
ga4-btn-shopinfo-next,app.shop-pro.jp , referral,1
ga4-btn-shopinfo-next,naver , cpc,8
ga4-btn-gnb-freetrial,google , organic,6
ga4-btn-gnb-freetrial,naver , cpc,6
ga4-btn-home-freetrial,BS , brand_search_pc,6
sign-up-create-account-social,viimstudio , banner,1
sign_up,(data not available),,7
sign_up,naver , cpc,4
ga4-btn-multiplayer-free,google , cpc,6
ga4-btn-policy-social-next,BS , brand_search_pc,5
sign-up-create-account-social,accounts.google.com , referral,4
sign_up_create_account,google , organic,6
start_sign_up,naver , cpc,5
sign-up-create-account-social,charllasample.cafe24.com , referral,1
sign_up_create_account,kimutaku4.cafe24.com , referral,1
start_sign_up,BS , brand_search_pc,3
ga4-btn-gnb-freetrial,BS , brand_search_pc,3
ga4-btn-policy-next,google , organic,4
ga4-btn-policy-social-next,accounts.google.com , referral,4
ga4-btn-shopinfo-next,betterlab1.cafe24.com , referral,1
ga4-btn-shopinfo-next,bing , organic,2
ga4-btn-shopinfo-next,everybo.cafe24.com , referral,1
ga4-btn-shopinfo-next,happylalla486.cafe24.com , referral,1
